,,Delivery Date,Fuel Type,Tank #,Building,Gallons,Unit Cost,Cost
,,01/03/2014,LIQUID PROPANE,14,171 Beech Hill Road,10.00,1.848100,18.48
,,01/03/2014,DYED KEROSENE,27,Witchcliff Apartments,170.00,3.730400,634.17
,,01/04/2014,#2 HEATING OIL,24,Dorr NHM,185.30,3.341700,619.22
,,01/04/2014,#2 HEATING OIL,3,Seafox,264.90,3.341700,885.22
,,01/04/2014,#2 HEATING OIL,5,Turrets,281.40,3.341700,940.35
,,01/05/2014,#2 HEATING OIL,11,Kaelber,299.10,3.299800,986.97
,,01/06/2014,LIQUID PROPANE,35,B&G,40.90,1.848100,75.59
,,01/06/2014,LIQUID PROPANE,37,Turrets Annex,71.60,1.848100,132.32
,,01/06/2014,LIQUID PROPANE,8,Arts & Sci + Gates,827.50,1.848100,1529.30
,,01/06/2014,LIQUID PROPANE,9,Pottery Studio,34.70,1.848100,64.13
,,01/08/2014,#2 HEATING OIL,21,Davis Center,317.80,3.322400,1055.86
,,01/10/2014,DYED KEROSENE,1,Peach House,126.20,3.748400,473.05
,,01/10/2014,DYED KEROSENE,26,Witchcliff,185.90,3.748400,696.83
,,01/11/2014,#2 HEATING OIL,24,Dorr NHM,153.70,3.280700,504.24
,,01/12/2014,#2 HEATING OIL,11,Kaelber,256.40,3.301200,846.43
,,01/12/2014,#2 HEATING OIL,11,Kaelber,1097.10,3.301200,3621.75
,,01/12/2014,#2 HEATING OIL,17,Blair Tyson,572.70,3.301200,1890.60
,,01/13/2014,#2 HEATING OIL,33,PRF,173.50,3.361200,583.17
,,01/13/2014,LIQUID PROPANE,35,B&G,41.90,1.865500,78.16
,,01/13/2014,#2 HEATING OIL,4,Cottage,144.70,3.301200,477.68
,,01/13/2014,LIQUID PROPANE,8,Arts & Sci + Gates,792.90,1.865500,1479.15
,,01/13/2014,LIQUID PROPANE,9,Pottery Studio,25.40,1.865500,47.38
,,01/15/2014,#2 HEATING OIL,24,Dorr NHM,0.10,3.299400,0.33
,,01/16/2014,#2 HEATING OIL,24,Dorr NHM,49.50,3.355200,166.08
,,01/17/2014,#2 HEATING OIL,20,Davis Carriage,115.70,3.378000,390.83
,,01/20/2014,#2 HEATING OIL,3,Seafox,282.00,3.419500,964.30
,,01/20/2014,LIQUID PROPANE,35,B&G,41.10,1.891000,77.72
,,01/20/2014,#2 HEATING OIL,5,Turrets,234.50,3.419500,801.87
,,01/20/2014,LIQUID PROPANE,8,Arts & Sci + Gates,308.50,1.891000,583.37
,,01/20/2014,LIQUID PROPANE,9,Pottery Studio,34.70,1.891000,65.62
